year,ethnicity,population
1951,black,0.04341567077211343
1951,south_asian,0.07769120032904508
1951,white,99.87889312889884
1971,black,0.9346790862619643
1971,south_asian,0.8754444749831773
1971,white,98.18987643875487
1991,black,1.85926725554096
1991,other,1.2849482067913254
1991,south_asian,3.041848463774591
1991,white,93.81393607389312
2001,black,2.3047109118245
2001,multiple,1.3092965113476143
2001,other,0.885857459653446
2001,south_asian,4.575381534819174
2001,white,90.92475358235527
2011,black,3.483358703471501
2011,multiple,2.2501862581126217
2011,other,1.034507814540794
2011,south_asian,7.815904624377335
2011,white,85.41604259949774
