year,ethnicity,population
1610,asian,
1610,black,0.0
1610,hispanic_any,
1610,multiple,
1610,native,
1610,other,
1610,white,100.0
1620,asian,
1620,black,0.8688097306689835
1620,hispanic_any,
1620,multiple,
1620,native,
1620,other,
1620,white,99.13119026933101
1630,asian,
1630,black,1.2914334911752046
1630,hispanic_any,
1630,multiple,
1630,native,
1630,other,
1630,white,98.7085665088248
1640,asian,
1640,black,2.2414958323946834
1640,hispanic_any,
1640,multiple,
1640,native,
1640,other,
1640,white,97.75850416760531
1650,asian,
1650,black,3.1766200762388817
1650,hispanic_any,
1650,multiple,
1650,native,
1650,other,
1650,white,96.82337992376112
1660,asian,
1660,black,3.8903248154760317
1660,hispanic_any,
1660,multiple,
1660,native,
1660,other,
1660,white,96.10967518452397
1670,asian,
1670,black,4.05145843569929
1670,hispanic_any,
1670,multiple,
1670,native,
1670,other,
1670,white,95.94854156430071
1680,asian,
1680,black,4.601107539585629
1680,hispanic_any,
1680,multiple,
1680,native,
1680,other,
1680,white,95.39889246041437
1690,asian,
1690,black,7.952103892152948
1690,hispanic_any,
1690,multiple,
1690,native,
1690,other,
1690,white,92.04789610784705
1700,asian,
1700,black,11.087417493064635
1700,hispanic_any,
1700,multiple,
1700,native,
1700,other,
1700,white,88.91258250693537
1710,asian,
1710,black,13.525629237498908
1710,hispanic_any,
1710,multiple,
1710,native,
1710,other,
1710,white,86.4743707625011
1720,asian,
1720,black,14.766455377157138
1720,hispanic_any,
1720,multiple,
1720,native,
1720,other,
1720,white,85.23354462284286
1730,asian,
1730,black,14.460516804486492
1730,hispanic_any,
1730,multiple,
1730,native,
1730,other,
1730,white,85.53948319551351
1740,asian,
1740,black,16.566931290258104
1740,hispanic_any,
1740,multiple,
1740,native,
1740,other,
1740,white,83.43306870974189
1750,asian,
1750,black,20.193720318425637
1750,hispanic_any,
1750,multiple,
1750,native,
1750,other,
1750,white,79.80627968157437
1760,asian,
1760,black,20.444332888854028
1760,hispanic_any,
1760,multiple,
1760,native,
1760,other,
1760,white,79.55566711114598
1770,asian,
1770,black,21.406225850482013
1770,hispanic_any,
1770,multiple,
1770,native,
1770,other,
1770,white,78.59377414951798
1780,asian,
1780,black,20.695814116759323
1780,hispanic_any,
1780,multiple,
1780,native,
1780,other,
1780,white,79.30418588324068
1790,asian,
1790,black,19.27123338153636
1790,hispanic_any,
1790,multiple,
1790,native,
1790,other,
1790,white,80.72876661846364
1800,asian,
1800,black,18.87614597239927
1800,hispanic_any,
1800,multiple,
1800,native,
1800,other,
1800,white,81.12385402760073
1810,asian,
1810,black,19.030810036794804
1810,hispanic_any,
1810,multiple,
1810,native,
1810,other,
1810,white,80.9691899632052
1820,asian,
1820,black,18.381124024778664
1820,hispanic_any,
1820,multiple,
1820,native,
1820,other,
1820,white,81.61887597522133
1830,asian,
1830,black,18.106647677552903
1830,hispanic_any,
1830,multiple,
1830,native,
1830,other,
1830,white,81.8933523224471
1840,asian,
1840,black,16.84105111111515
1840,hispanic_any,
1840,multiple,
1840,native,
1840,other,
1840,white,83.15894888888485
1850,asian,
1850,black,15.611292875885303
1850,hispanic_any,0.5017113908688381
1850,multiple,
1850,native,
1850,other,
1850,white,83.88699573324585
1860,asian,0.11055334237537494
1860,black,14.057170949051375
1860,hispanic_any,0.49053239252807135
1860,multiple,
1860,native,0.13931436420308535
1860,other,
1860,white,85.2024289518421
1870,asian,0.1628887094837222
1870,black,12.566768398503646
1870,hispanic_any,0.7063064472669177
1870,multiple,
1870,native,0.06626125436692787
1870,other,
1870,white,86.49777519037879
1880,asian,0.2089305304057592
1880,black,13.018554268702786
1880,hispanic_any,0.7785561899940213
1880,multiple,
1880,native,0.13137066206485237
1880,other,
1880,white,85.86258834883257
1890,asian,0.17276618622796366
1890,black,11.812521044280242
1890,hispanic_any,0.7072550188666221
1890,multiple,
1890,native,0.39159042089759294
1890,other,
1890,white,86.91586732972758
1900,asian,0.14927102967349476
1900,black,11.54804211009357
1900,hispanic_any,0.657782624862081
1900,multiple,
1900,native,0.3100691936564316
1900,other,
1900,white,87.33483504171443
1910,asian,0.15830827681198695
1910,black,10.593656846493694
1910,hispanic_any,0.8601829939896687
1910,multiple,
1910,native,0.28638811619154675
1910,other,
1910,white,88.1014637665131
1920,asian,0.1702266275803792
1920,black,9.778921932730421
1920,hispanic_any,1.2020493253376032
1920,multiple,
1920,native,0.2284526821341361
1920,other,
1920,white,88.62034943221747
1930,asian,0.21278474453787646
1930,black,9.556566271796068
1930,hispanic_any,1.3292613147608405
1930,multiple,
1930,native,0.26713781501460354
1930,other,
1930,white,88.63424985389061
1940,asian,0.19067687342975237
1940,black,9.623317095278486
1940,hispanic_any,1.5123071585283971
1940,multiple,
1940,native,0.24980646616739882
1940,other,
1940,white,88.42389240659597
1950,asian,0.20855945253119348
1950,black,9.772238159247294
1950,hispanic_any,2.0992885215674755
1950,multiple,
1950,native,0.22309669595878664
1950,other,0.031575643721443364
1950,white,87.6652415269738
1960,asian,0.5295170181712978
1960,black,10.193388272147907
1960,hispanic_any,3.140784327216225
1960,multiple,
1960,native,0.2979772505756099
1960,other,0.04731930743602936
1960,white,85.79101382445293
1970,asian,0.7195555080754826
1970,black,10.625204042454916
1970,hispanic_any,4.205390008399428
1970,multiple,
1970,native,0.37482010299121726
1970,other,0.1084536883884889
1970,white,83.96657664969047
1980,asian,1.451533900191561
1980,black,10.98674394095224
1980,hispanic_any,6.057807062575052
1980,multiple,
1980,native,0.5890000516598327
1980,other,2.8024853844928397
1980,white,78.11242966012847
1990,asian,2.683375079204562
1990,black,11.062357053095504
1990,hispanic_any,8.246784747444746
1990,multiple,
1990,native,0.7227940602588174
1990,other,3.6171713911388257
1990,white,73.66751766885754
2000,asian,3.359931004966272
2000,black,10.942581710971409
2000,hispanic_any,11.147056390933432
2000,multiple,2.155235390761056
2000,native,0.7817301146646701
2000,other,4.84929857292821
2000,white,66.76416681477495
2010,asian,4.235324411123948
2010,black,10.837085792125436
2010,hispanic_any,14.051877371861453
2010,multiple,2.5079323121095665
2010,native,0.8162748272012728
2010,other,5.3190806208994355
2010,white,62.23242466467889
